tanggal,pelanggan_id,card_type,gate_in_boo,amount,status_var,no_body_var,route_code,route_name,tarif
2025-10-06,BUS-002,STUDENT,0,7000,S,BRT-123,R001,Kota-Center,7000
2025-10-03,BUS-003,REG,0,5000,S,LGS-007,R005,Mall-Express,5000
2025-10-07,BUS-004,SENIOR,1,2000,S,LGS-007,R001,Mall-Express,2000
2025-10-07,BUS-005,REG,0,3500,S,BRT-123,R001,Kota-Center,3500
2025-10-05,BUS-007,SENIOR,0,7000,S,BRT-123,R010,Mall-Express,7000
2025-10-02,BUS-010,STUDENT,1,2000,S,LGS-009,R001,Bandara-Line,2000
2025-10-07,BUS-015,SENIOR,1,7000,S,BRT-123,R010,Mall-Express,7000
2025-10-02,HAL-003,SENIOR,0,3500,S,BRT-002,R010,Bandara-Line,3500
2025-10-03,HAL-004,SENIOR,0,5000,S,LGS-251,R001,Kota-Center,5000
2025-10-07,HAL-006,SENIOR,1,2000,S,BRT-015,R001,Mall-Express,2000
2025-10-01,HAL-007,STUDENT,1,2000,S,BRT-002,R001,Bandara-Line,2000
2025-10-01,HAL-009,SENIOR,0,3500,S,BRT-015,R010,Kota-Center,3500
2025-10-01,HAL-010,SENIOR,1,5000,S,BRT-015,R005,Mall-Express,5000
2025-10-06,HAL-011,REG,1,2000,S,BRT-015,R010,Kota-Center,2000
